Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
02/01/2017,EQ,122.8,124.2,121.35,122,123.55,123.55,122.85,157.7,100,1102178,135406433.1,6117
03/01/2017,EQ,122.8,125.4,122.8,123.55,124.75,124.45,124.38,157.7,100,580430,72193400.75,4024
04/01/2017,EQ,125,126.05,123.8,124.45,124.1,124.45,124.8,157.7,100,656213,81897703.65,4883
05/01/2017,EQ,124.75,125.65,124.55,124.45,125.3,125.2,125.15,157.7,100,503565,63023209.15,3533
06/01/2017,EQ,125.4,126.95,124.05,125.2,124.5,124.65,125.39,157.7,100,1255021,157366864.2,6835
09/01/2017,EQ,124.75,125.5,123.95,124.65,124.75,124.75,124.76,157.7,100,414927,51765127.4,2052
10/01/2017,EQ,125.5,125.5,123.8,124.75,124.5,124.45,124.37,157.7,100,533212,66316171.6,7015
11/01/2017,EQ,125,127.9,124.55,124.45,127.65,127.55,126.51,157.7,100,839283,106175245,6474
12/01/2017,EQ,128.3,128.4,124.05,127.55,124.9,125.15,125.68,157.7,100,1403598,176404945,10494
13/01/2017,EQ,126.9,130.9,126.65,125.15,128.15,128.35,129.05,157.7,100,3617760,466888421.5,22962
16/01/2017,EQ,128.2,128.4,127,128.35,127.6,127.65,127.72,157.7,100,538746,68806101.05,3524
17/01/2017,EQ,128.6,129.4,126.55,127.65,127.5,127.6,128.03,157.7,100,851814,109056981.2,5528
18/01/2017,EQ,128,130.45,127.7,127.6,128.5,128.65,129.03,157.7,100,1059940,136767858.6,6309
19/01/2017,EQ,129.8,131.55,129.15,128.65,130.25,130.5,130.49,157.7,100,1308883,170801760.2,9932
20/01/2017,EQ,130.25,131.35,126,130.5,126.9,126.4,128.29,157.7,100,961631,123364022.4,8023
23/01/2017,EQ,127.6,128.4,126.6,126.4,127.65,127.9,127.67,157.7,100,746313,95282689.3,4916
24/01/2017,EQ,128.8,128.95,126.85,127.9,128.5,128.45,127.77,157.7,100,996229,127285219,8834
25/01/2017,EQ,129.25,129.25,127.45,128.45,128.3,128.35,128.23,157.7,100,909771,116660227,3968
27/01/2017,EQ,128.35,129.95,128.35,128.35,128.8,129.2,129.32,157.7,100,759876,98269655.8,5303
30/01/2017,EQ,129.1,131.8,128.1,129.2,130.25,130.45,130.1,157.7,100,1256759,163500934.4,9366
31/01/2017,EQ,130.5,132,128.5,130.45,128.7,128.85,130.11,157.7,100,1614154,210015925.6,9157
01/02/2017,EQ,129.05,130.65,127.35,128.85,129.85,130.1,129.36,157.7,100,1221969,158077650.9,7793
02/02/2017,EQ,132.45,138.8,132.4,130.1,137.4,137.65,136.55,157.7,100,6652685,908400459.4,36382
03/02/2017,EQ,138.2,143.9,137.1,137.65,141.55,141.85,141.11,157.7,100,3569132,503654640.9,21177
06/02/2017,EQ,141.9,144.75,141.2,141.85,142.8,142.75,142.85,157.7,100,2127506,303912637.7,11331
07/02/2017,EQ,142.1,145.8,140.1,142.75,141.9,141.65,143.12,157.7,100,2205918,315708814.6,11313
08/02/2017,EQ,141.95,146.9,141.35,141.65,145.85,146.15,144.34,157.7,100,2162887,312195169.3,14442
09/02/2017,EQ,146,147.15,143.05,146.15,143.75,143.9,144.7,157.7,100,1726818,249872051.6,14218
10/02/2017,EQ,143.95,145.5,142.6,143.9,144,143.95,144.06,157.7,100,1367413,196994275.7,10959
13/02/2017,EQ,144.9,146.85,141.25,143.95,141.5,141.95,143.13,157.7,101.1,2224197,318339238,11417
14/02/2017,EQ,142.4,143.7,139.95,141.95,140.9,141.2,141.8,157.7,101.1,1395593,197889200.4,11840
15/02/2017,EQ,140.9,142.85,138,141.2,138.4,138.75,140.14,157.7,101.1,1193620,167279482.9,13741
16/02/2017,EQ,139.2,140.7,138.1,138.75,140.65,140.1,139.44,157.7,101.1,942382,131408331.1,8231
17/02/2017,EQ,140.9,141.95,139.65,140.1,139.8,140.15,140.86,157.7,101.1,952450,134157971.2,20366
20/02/2017,EQ,141,142.6,139.8,140.15,141.4,141.6,141.29,157.7,101.6,1517679,214439328.8,14376
21/02/2017,EQ,142.15,143.2,141,141.6,141.7,141.6,141.71,157.7,101.6,1671915,236922394.6,11398
22/02/2017,EQ,142.55,142.75,139.6,141.6,139.75,140,140.98,157.7,101.6,1296093,182719398.3,12253
23/02/2017,EQ,140.05,140.9,138.7,140,139.1,139.25,139.66,157.7,101.6,1340126,187167062.2,8563
27/02/2017,EQ,139,140.45,138.35,139.25,138.45,138.9,139.47,157.7,101.6,1129032,157464956,9506
28/02/2017,EQ,139.15,139.85,136.75,138.9,138.15,138.05,137.98,157.7,101.6,1513693,208858451.4,16145
01/03/2017,EQ,138.5,145.8,138.25,138.05,144.1,143.6,143.64,157.7,101.6,4919352,706619664,23356
02/03/2017,EQ,145.45,145.75,140.05,143.6,141.1,141.1,142.67,157.7,101.6,1765255,251852336.2,15410
03/03/2017,EQ,141.1,144.2,140.1,141.1,143.25,143.35,142.35,157.7,101.6,1672938,238145505.9,9070
06/03/2017,EQ,143.95,145.2,142.1,143.35,142.8,143.25,143.57,157.7,113.1,2043052,293315079.9,12344
07/03/2017,EQ,143,144.15,142.2,143.25,142.4,142.75,143.03,157.7,113.1,727617,104071624.4,8787
08/03/2017,EQ,142.4,143,140.05,142.75,140.8,141.4,141.48,157.7,113.1,1103877,156179081.2,8764
09/03/2017,EQ,140.6,142.35,140.2,141.4,140.6,140.8,141.25,157.7,113.1,1073015,151566655.5,6545
10/03/2017,EQ,140.85,142.25,136.75,140.8,137.15,137.1,138.99,157.7,113.1,1671172,232275075.8,11022
14/03/2017,EQ,140.2,140.4,138.6,137.1,139.6,139.5,139.57,157.7,113.9,838219,116987774.3,7163
15/03/2017,EQ,139.6,142.1,139.3,139.5,140.95,140.9,141.08,157.7,113.9,1279451,180502734.6,9685
16/03/2017,EQ,141.6,145.5,141.35,140.9,144.45,144.7,144.11,157.7,113.9,3987646,574646397.7,24590
17/03/2017,EQ,145.7,145.7,142.25,144.7,144.5,144.8,144.2,157.7,113.9,1898811,273813766.2,17912
20/03/2017,EQ,144.8,147.45,144.8,144.8,146.55,146.45,146.52,157.7,114.25,2675495,392025836.8,18990
21/03/2017,EQ,147,148.45,145.1,146.45,145.6,145.9,146.59,157.7,114.25,2955856,433295915.4,22525
22/03/2017,EQ,145.55,145.55,142.2,145.9,142.75,143.1,143.62,157.7,114.25,2306755,331305158.6,16669
23/03/2017,EQ,143.9,152.5,143.2,143.1,151.7,151.6,148.73,157.7,114.25,6422298,955210025.8,33442
24/03/2017,EQ,152.9,153.15,150.5,151.6,150.85,151.15,151.64,157.7,114.25,3485991,528628073.5,36723
27/03/2017,EQ,151,151.9,148,151.15,148,148.6,149.37,157.7,114.25,2933289,438140592.6,18596
28/03/2017,EQ,149.9,153.9,148,148.6,153,150.55,150.01,157.7,114.25,2740120,411054516,13350
29/03/2017,EQ,151.7,153,149.5,150.55,150.1,150.6,151.39,157.7,114.25,2092924,316840542.1,16598
30/03/2017,EQ,151.45,152.75,149.7,150.6,150,150.15,150.78,157.7,114.25,3022795,455784190.8,16033
31/03/2017,EQ,151.45,152.1,150.1,150.15,150.5,150.55,151.14,157.7,114.25,1193137,180330771.2,17747
03/04/2017,EQ,150.65,153.5,150.3,150.55,151.3,151.9,152.24,157.7,114.25,1788548,272296281.5,8402
05/04/2017,EQ,152.8,154.8,151,151.9,152.75,152.65,153.11,157.7,114.25,2011288,307938269,12300
06/04/2017,EQ,152.9,154.35,151.25,152.65,152.55,153.05,152.86,157.7,114.25,2295942,350966790.9,13409
07/04/2017,EQ,152.8,154.45,150,153.05,150,150.6,152.44,157.7,114.25,1444642,220225111.3,7821
10/04/2017,EQ,151.5,152.25,149.4,150.6,150.55,150.95,150.71,157.7,114.25,1857915,280001461.8,13033
11/04/2017,EQ,151.5,153.75,151.05,150.95,153.7,153.4,152.42,157.7,114.25,2064221,314621240.8,16211
12/04/2017,EQ,153.95,153.95,150.3,153.4,151.8,151.75,152.03,157.7,114.25,1907247,289959630.5,15715
13/04/2017,EQ,152,153,149.8,151.75,150,150.5,151.69,157.7,114.25,1272204,192980700.1,11262
17/04/2017,EQ,151,151,148.55,150.5,149.05,149.45,149.53,157.7,114.25,830703,124212333.9,6908
18/04/2017,EQ,149.1,152.5,147.5,149.45,147.7,148.15,150.65,157.7,114.25,1563947,235602957.8,8492
19/04/2017,EQ,147.9,150.8,147.5,148.15,150.6,150.2,149.42,157.7,114.25,1092317,163216812.4,6413
20/04/2017,EQ,150.25,153.6,150.25,150.2,152,152.15,152.31,157.7,114.25,1540540,234642930.1,9856
21/04/2017,EQ,153.5,153.9,149.7,152.15,151.2,151.3,151.97,157.7,114.25,1293698,196606927.9,5993
24/04/2017,EQ,151,153.25,151,151.3,151.5,151.95,152.14,157.7,114.25,1079887,164295794.7,6821
25/04/2017,EQ,152.4,153.15,151,151.95,151.6,151.7,152,157.7,114.25,945527,143722995,8881
26/04/2017,EQ,152.45,156.6,151.6,151.7,154.05,153.75,154.58,157.7,114.25,4161713,643313733.3,25744
27/04/2017,EQ,155,155.4,151.55,153.75,152,152.1,152.92,157.7,114.25,1388038,212253649.3,9849
28/04/2017,EQ,153.4,154.7,152,152.1,152.8,153.1,153.33,157.7,114.25,1132516,173647694.1,6765
02/05/2017,EQ,154.3,161.45,153.75,153.1,157.5,157.7,158.7,161.45,114.25,6827849,1083557885,36545
03/05/2017,EQ,158.85,158.85,155.55,157.7,156.25,156.2,156.65,161.45,114.25,1523044,238592059.9,11033
04/05/2017,EQ,156.3,158.3,154.8,156.2,155,155.35,156.12,161.45,114.25,1653237,258107149.7,9125
05/05/2017,EQ,156.5,156.5,151.1,155.35,152,152.3,153.61,161.45,114.25,1349536,207308748.8,9000
08/05/2017,EQ,152.8,154.15,151.95,152.3,152.45,152.6,153.06,161.45,114.25,1239593,189726063.3,9609
09/05/2017,EQ,153.2,155.15,152.55,152.6,154,154.05,153.79,161.45,114.25,939148,144434291.2,7703
10/05/2017,EQ,154.9,156.35,153.9,154.05,154.65,154.85,154.93,161.45,114.25,1186929,183889927.9,9454
11/05/2017,EQ,155,156.2,153.2,154.85,153.75,154,154.53,161.45,114.25,589464,91088018.25,4272
12/05/2017,EQ,154,154.75,151.65,154,152.6,152.65,152.58,161.45,114.25,940916,143563063.1,8232
15/05/2017,EQ,152.65,155,152.45,152.65,154.55,154.6,153.96,161.45,114.25,1012554,155895745.4,8109
16/05/2017,EQ,154.6,155.45,153,154.6,153.85,154.45,154.16,161.45,114.25,1306020,201340544,21672
17/05/2017,EQ,154,154.65,152.5,154.45,152.5,152.85,153.21,161.45,114.25,1161590,177967306,13238
18/05/2017,EQ,152,152.6,147,152.85,147.1,147.5,149.69,161.45,114.25,1233917,184706743.3,8370
19/05/2017,EQ,149.5,153.8,148.35,147.5,149.3,149.5,151.48,161.45,114.25,2744849,415798417.6,18470
22/05/2017,EQ,149.8,151.15,147.2,149.5,147.95,147.8,148.9,161.45,114.25,1098727,163601808.9,7391
23/05/2017,EQ,148.05,148.4,143.65,147.8,144.7,144.75,145.53,161.45,114.25,1355129,197212611.1,8627
24/05/2017,EQ,145.2,146.1,140.2,144.75,142,141.7,143.05,161.45,114.25,1755862,251174983,11900
25/05/2017,EQ,143.45,144.65,142.1,141.7,143.25,143.05,143.36,161.45,114.25,1842806,264177763,12689
26/05/2017,EQ,144,147.25,143.5,143.05,146.9,146.9,145.88,161.45,114.25,1417686,206813680,10125
29/05/2017,EQ,147.2,147.5,143.9,146.9,144.9,145.4,145.9,161.45,114.25,977041,142546283.5,7157
30/05/2017,EQ,145,146.2,143.7,145.4,145.45,145.55,145.17,161.45,114.25,1513053,219649209.4,7932
31/05/2017,EQ,148.55,151,147.55,145.55,149.7,149.4,149.31,161.45,114.25,3325237,496488576.2,26664
01/06/2017,EQ,148.35,154,148.25,149.4,153.05,152.4,151.93,161.45,114.25,2952069,448521211.6,21343
02/06/2017,EQ,153.1,158.35,152.15,152.4,154.6,154.85,155.98,161.45,114.25,3603942,562136503.2,24482
05/06/2017,EQ,155.05,156.5,152.9,154.85,154.8,154.95,154.8,161.45,114.25,1647207,254994748.7,24138
06/06/2017,EQ,155,155.65,152.2,154.95,152.5,153,153.64,161.45,114.25,1290705,198300342.9,18406
07/06/2017,EQ,152.65,156.4,152.4,153,155.1,155.55,154.7,161.45,114.25,1943703,300685749.2,17525
